127.0.0.1 - - [02/Jun/2020:20:23:49 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:42 +0800] "POST /web2/Register HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:43 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:58:52 +0800] "GET /web2/jsp/borrow.html HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:58:52 +0800] "GET /web2/js/borrow.js HTTP/1.1" 200 3247
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:58:52 +0800] "GET /web2/css/borrow.css HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:58:53 +0800] "GET /web2/images/bj.jpg HTTP/1.1" 200 29802
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:59:06 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:59:38 +0800] "POST /web2/Pipe HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:32 +0800] "GET /web2/jsp/login.html HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:32 +0800] "GET /web2/css/login.css HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:32 +0800] "GET /web2/js/login.js HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:32 +0800] "GET /web2/images/timg.jpg HTTP/1.1" 200 110671
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:32 +0800] "GET /web2/images/shop.png HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:35 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:00:56 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:01 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:01 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:01 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:02 +0800] "GET /web2/images/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/jsp/register.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/css/register.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/js/register.js HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/images/time.jpg HTTP/1.1" 200 94764
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/images/password.png HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:04 +0800] "GET /web2/images/user_1.png HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "POST /web2/Register HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/jsp/pipe.html HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/css/pipe.css HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/js/pipe.js HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/images/xuan.ico HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/images/beijing1.jpg HTTP/1.1" 200 55653
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:12 +0800] "GET /web2/images/bei1.jpg HTTP/1.1" 200 53602
0:0:0:0:0:0:0:1 - - [02/Jun/2020:21:13:13 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
